T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
171.0,1.0,Baseline,random,Sides,300,False,1,1
141.0,1.0,Baseline,random,Sides,300,False,1,1
161.0,1.0,Baseline,random,Sides,300,False,1,1
161.0,1.0,Baseline,random,Sides,300,False,1,1
151.0,1.0,Baseline,random,Sides,300,False,1,1
131.0,1.0,Baseline,random,Sides,300,False,1,1
181.0,1.0,Baseline,random,Sides,300,False,1,1
121.0,1.0,Baseline,random,Sides,300,False,1,1
128.0,1.0,Baseline,random,Sides,300,False,1,1
111.0,1.0,Baseline,random,Sides,300,False,1,1
124.0,1.0,Baseline,random,Sides,300,False,1,1
111.0,1.0,Baseline,random,Sides,300,False,1,1
190.0,1.0,Baseline,random,Sides,300,False,1,1
121.0,1.0,Baseline,random,Sides,300,False,1,1
101.0,1.0,Baseline,random,Sides,300,False,1,1
190.0,1.0,Baseline,random,Sides,300,False,1,1
181.0,1.0,Baseline,random,Sides,300,False,1,1
121.0,1.0,Baseline,random,Sides,300,False,1,1
101.0,1.0,Baseline,random,Sides,300,False,1,1
121.0,1.0,Baseline,random,Sides,300,False,1,1
121.0,1.0,Baseline,random,Sides,300,False,1,1
200.0,1.0,Baseline,random,Sides,300,False,1,1
101.0,1.0,Baseline,random,Sides,300,False,1,1
151.0,1.0,Baseline,random,Sides,300,False,1,1
151.0,1.0,Baseline,random,Sides,300,False,1,1
181.0,1.0,Baseline,random,Sides,300,False,1,1
141.0,1.0,Baseline,random,Sides,300,False,1,1
171.0,1.0,Baseline,random,Sides,300,False,1,1
171.0,1.0,Baseline,random,Sides,300,False,1,1
111.0,1.0,Baseline,random,Sides,300,False,1,1
161.0,1.0,Baseline,random,Sides,300,False,1,1
161.0,1.0,Baseline,random,Sides,300,False,1,1
181.0,1.0,Baseline,random,Sides,300,False,1,1
161.0,1.0,Baseline,random,Sides,300,False,1,1
141.0,1.0,Baseline,random,Sides,300,False,1,1
111.0,1.0,Baseline,random,Sides,300,False,1,1
151.0,1.0,Baseline,random,Sides,300,False,1,1
190.0,1.0,Baseline,random,Sides,300,False,1,1
151.0,1.0,Baseline,random,Sides,300,False,1,1
168.0,1.0,Baseline,random,Sides,300,False,1,1
181.0,1.0,Baseline,random,Sides,300,False,1,1
190.0,1.0,Baseline,random,Sides,300,False,1,1
171.0,1.0,Baseline,random,Sides,300,False,1,1
141.0,1.0,Baseline,random,Sides,300,False,1,1
131.0,1.0,Baseline,random,Sides,300,False,1,1
121.0,1.0,Baseline,random,Sides,300,False,1,1
151.0,1.0,Baseline,random,Sides,300,False,1,1
111.0,1.0,Baseline,random,Sides,300,False,1,1
101.0,1.0,Baseline,random,Sides,300,False,1,1
141.0,1.0,Baseline,random,Sides,300,False,1,1
111.0,1.0,Baseline,random,Sides,300,False,1,1
141.0,1.0,Baseline,random,Sides,300,False,1,1
141.0,1.0,Baseline,random,Sides,300,False,1,1
141.0,1.0,Baseline,random,Sides,300,False,1,1
127.0,1.0,Baseline,random,Sides,300,False,1,1
151.0,1.0,Baseline,random,Sides,300,False,1,1
111.0,1.0,Baseline,random,Sides,300,False,1,1
190.0,1.0,Baseline,random,Sides,300,False,1,1
181.0,1.0,Baseline,random,Sides,300,False,1,1
200.0,1.0,Baseline,random,Sides,300,False,1,1
141.0,1.0,Baseline,random,Sides,300,False,1,1
200.0,1.0,Baseline,random,Sides,300,False,1,1
141.0,1.0,Baseline,random,Sides,300,False,1,1
171.0,1.0,Baseline,random,Sides,300,False,1,1
190.0,1.0,Baseline,random,Sides,300,False,1,1
171.0,1.0,Baseline,random,Sides,300,False,1,1
148.0,1.0,Baseline,random,Sides,300,False,1,1
101.0,1.0,Baseline,random,Sides,300,False,1,1
131.0,1.0,Baseline,random,Sides,300,False,1,1
101.0,1.0,Baseline,random,Sides,300,False,1,1
111.0,1.0,Baseline,random,Sides,300,False,1,1
151.0,1.0,Baseline,random,Sides,300,False,1,1
111.0,1.0,Baseline,random,Sides,300,False,1,1
111.0,1.0,Baseline,random,Sides,300,False,1,1
141.0,1.0,Baseline,random,Sides,300,False,1,1
181.0,1.0,Baseline,random,Sides,300,False,1,1
141.0,1.0,Baseline,random,Sides,300,False,1,1
141.0,1.0,Baseline,random,Sides,300,False,1,1
101.0,1.0,Baseline,random,Sides,300,False,1,1
131.0,1.0,Baseline,random,Sides,300,False,1,1
161.0,1.0,Baseline,random,Sides,300,False,1,1
121.0,1.0,Baseline,random,Sides,300,False,1,1
111.0,1.0,Baseline,random,Sides,300,False,1,1
131.0,1.0,Baseline,random,Sides,300,False,1,1
171.0,1.0,Baseline,random,Sides,300,False,1,1
151.0,1.0,Baseline,random,Sides,300,False,1,1
121.0,1.0,Baseline,random,Sides,300,False,1,1
171.0,1.0,Baseline,random,Sides,300,False,1,1
161.0,1.0,Baseline,random,Sides,300,False,1,1
121.0,1.0,Baseline,random,Sides,300,False,1,1
151.0,1.0,Baseline,random,Sides,300,False,1,1
111.0,1.0,Baseline,random,Sides,300,False,1,1
111.0,1.0,Baseline,random,Sides,300,False,1,1
151.0,1.0,Baseline,random,Sides,300,False,1,1
181.0,1.0,Baseline,random,Sides,300,False,1,1
171.0,1.0,Baseline,random,Sides,300,False,1,1
151.0,1.0,Baseline,random,Sides,300,False,1,1
101.0,1.0,Baseline,random,Sides,300,False,1,1
181.0,1.0,Baseline,random,Sides,300,False,1,1
101.0,1.0,Baseline,random,Sides,300,False,1,1
161.0,1.0,Baseline,random,Sides,300,False,1,1
111.0,1.0,Baseline,random,Sides,300,False,1,1
131.0,1.0,Baseline,random,Sides,300,False,1,1
111.0,1.0,Baseline,random,Sides,300,False,1,1
111.0,1.0,Baseline,random,Sides,300,False,1,1
101.0,1.0,Baseline,random,Sides,300,False,1,1
200.0,1.0,Baseline,random,Sides,300,False,1,1
101.0,1.0,Baseline,random,Sides,300,False,1,1
101.0,1.0,Baseline,random,Sides,300,False,1,1
151.0,1.0,Baseline,random,Sides,300,False,1,1
101.0,1.0,Baseline,random,Sides,300,False,1,1
190.0,1.0,Baseline,random,Sides,300,False,1,1
164.0,1.0,Baseline,random,Sides,300,False,1,1
151.0,1.0,Baseline,random,Sides,300,False,1,1
111.0,1.0,Baseline,random,Sides,300,False,1,1
190.0,1.0,Baseline,random,Sides,300,False,1,1
151.0,1.0,Baseline,random,Sides,300,False,1,1
131.0,1.0,Baseline,random,Sides,300,False,1,1
141.0,1.0,Baseline,random,Sides,300,False,1,1
101.0,1.0,Baseline,random,Sides,300,False,1,1
190.0,1.0,Baseline,random,Sides,300,False,1,1
101.0,1.0,Baseline,random,Sides,300,False,1,1
190.0,1.0,Baseline,random,Sides,300,False,1,1
151.0,1.0,Baseline,random,Sides,300,False,1,1
190.0,1.0,Baseline,random,Sides,300,False,1,1
181.0,1.0,Baseline,random,Sides,300,False,1,1
165.0,1.0,Baseline,random,Sides,300,False,1,1
131.0,1.0,Baseline,random,Sides,300,False,1,1
141.0,1.0,Baseline,random,Sides,300,False,1,1
141.0,1.0,Baseline,random,Sides,300,False,1,1
161.0,1.0,Baseline,random,Sides,300,False,1,1
141.0,1.0,Baseline,random,Sides,300,False,1,1
190.0,1.0,Baseline,random,Sides,300,False,1,1
101.0,1.0,Baseline,random,Sides,300,False,1,1
161.0,1.0,Baseline,random,Sides,300,False,1,1
