T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
101.0,1.0,Baseline,random,Sides,200,False,0.5,1
131.0,1.0,Baseline,random,Sides,200,False,0.5,1
101.0,1.0,Baseline,random,Sides,200,False,0.5,1
131.0,1.0,Baseline,random,Sides,200,False,0.5,1
111.0,1.0,Baseline,random,Sides,200,False,0.5,1
171.0,1.0,Baseline,random,Sides,200,False,0.5,1
161.0,1.0,Baseline,random,Sides,200,False,0.5,1
101.0,1.0,Baseline,random,Sides,200,False,0.5,1
141.0,1.0,Baseline,random,Sides,200,False,0.5,1
101.0,1.0,Baseline,random,Sides,200,False,0.5,1
111.0,1.0,Baseline,random,Sides,200,False,0.5,1
101.0,1.0,Baseline,random,Sides,200,False,0.5,1
131.0,1.0,Baseline,random,Sides,200,False,0.5,1
200.0,1.0,Baseline,random,Sides,200,False,0.5,1
111.0,1.0,Baseline,random,Sides,200,False,0.5,1
190.0,1.0,Baseline,random,Sides,200,False,0.5,1
171.0,1.0,Baseline,random,Sides,200,False,0.5,1
101.0,1.0,Baseline,random,Sides,200,False,0.5,1
131.0,1.0,Baseline,random,Sides,200,False,0.5,1
131.0,1.0,Baseline,random,Sides,200,False,0.5,1
131.0,1.0,Baseline,random,Sides,200,False,0.5,1
101.0,1.0,Baseline,random,Sides,200,False,0.5,1
121.0,1.0,Baseline,random,Sides,200,False,0.5,1
101.0,1.0,Baseline,random,Sides,200,False,0.5,1
121.0,1.0,Baseline,random,Sides,200,False,0.5,1
121.0,1.0,Baseline,random,Sides,200,False,0.5,1
161.0,1.0,Baseline,random,Sides,200,False,0.5,1
141.0,1.0,Baseline,random,Sides,200,False,0.5,1
131.0,1.0,Baseline,random,Sides,200,False,0.5,1
101.0,1.0,Baseline,random,Sides,200,False,0.5,1
190.0,1.0,Baseline,random,Sides,200,False,0.5,1
161.0,1.0,Baseline,random,Sides,200,False,0.5,1
200.0,1.0,Baseline,random,Sides,200,False,0.5,1
131.0,1.0,Baseline,random,Sides,200,False,0.5,1
181.0,1.0,Baseline,random,Sides,200,False,0.5,1
171.0,1.0,Baseline,random,Sides,200,False,0.5,1
161.0,1.0,Baseline,random,Sides,200,False,0.5,1
171.0,1.0,Baseline,random,Sides,200,False,0.5,1
101.0,1.0,Baseline,random,Sides,200,False,0.5,1
200.0,1.0,Baseline,random,Sides,200,False,0.5,1
144.0,1.0,Baseline,random,Sides,200,False,0.5,1
141.0,1.0,Baseline,random,Sides,200,False,0.5,1
151.0,1.0,Baseline,random,Sides,200,False,0.5,1
190.0,1.0,Baseline,random,Sides,200,False,0.5,1
171.0,1.0,Baseline,random,Sides,200,False,0.5,1
181.0,1.0,Baseline,random,Sides,200,False,0.5,1
101.0,1.0,Baseline,random,Sides,200,False,0.5,1
111.0,1.0,Baseline,random,Sides,200,False,0.5,1
177.0,1.0,Baseline,random,Sides,200,False,0.5,1
111.0,1.0,Baseline,random,Sides,200,False,0.5,1
190.0,1.0,Baseline,random,Sides,200,False,0.5,1
141.0,1.0,Baseline,random,Sides,200,False,0.5,1
131.0,1.0,Baseline,random,Sides,200,False,0.5,1
141.0,1.0,Baseline,random,Sides,200,False,0.5,1
111.0,1.0,Baseline,random,Sides,200,False,0.5,1
190.0,1.0,Baseline,random,Sides,200,False,0.5,1
171.0,1.0,Baseline,random,Sides,200,False,0.5,1
151.0,1.0,Baseline,random,Sides,200,False,0.5,1
111.0,1.0,Baseline,random,Sides,200,False,0.5,1
141.0,1.0,Baseline,random,Sides,200,False,0.5,1
111.0,1.0,Baseline,random,Sides,200,False,0.5,1
111.0,1.0,Baseline,random,Sides,200,False,0.5,1
101.0,1.0,Baseline,random,Sides,200,False,0.5,1
151.0,1.0,Baseline,random,Sides,200,False,0.5,1
151.0,1.0,Baseline,random,Sides,200,False,0.5,1
131.0,1.0,Baseline,random,Sides,200,False,0.5,1
121.0,1.0,Baseline,random,Sides,200,False,0.5,1
102.0,1.0,Baseline,random,Sides,200,False,0.5,1
141.0,1.0,Baseline,random,Sides,200,False,0.5,1
161.0,1.0,Baseline,random,Sides,200,False,0.5,1
131.0,1.0,Baseline,random,Sides,200,False,0.5,1
190.0,1.0,Baseline,random,Sides,200,False,0.5,1
151.0,1.0,Baseline,random,Sides,200,False,0.5,1
151.0,1.0,Baseline,random,Sides,200,False,0.5,1
131.0,1.0,Baseline,random,Sides,200,False,0.5,1
121.0,1.0,Baseline,random,Sides,200,False,0.5,1
141.0,1.0,Baseline,random,Sides,200,False,0.5,1
151.0,1.0,Baseline,random,Sides,200,False,0.5,1
121.0,1.0,Baseline,random,Sides,200,False,0.5,1
171.0,1.0,Baseline,random,Sides,200,False,0.5,1
161.0,1.0,Baseline,random,Sides,200,False,0.5,1
111.0,1.0,Baseline,random,Sides,200,False,0.5,1
131.0,1.0,Baseline,random,Sides,200,False,0.5,1
