T,E,Scenario,Agent_type,Distribution,Num_agents,Trading,Move_prob,Run_number
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
258.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
173.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
215.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
268.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
145.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
229.0,1.0,Baseline,random,Sides,300,True,0.8,2
258.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
200.0,1.0,Baseline,random,Sides,300,True,0.8,2
172.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
143.0,1.0,Baseline,random,Sides,300,True,0.8,2
115.0,1.0,Baseline,random,Sides,300,True,0.8,2
